"Code","Descriptor","CodeSystem"
"115655006","Salmonella II 6,7:-:1,6 (organism)","SNOMEDCT"
"115661009","Salmonella Palamaner (organism)","SNOMEDCT"
"11577009","Salmonella Lawndale (organism)","SNOMEDCT"
"11579007","Salmonella Cullingworth (organism)","SNOMEDCT"
"116018004","Salmonella Bethune (organism)","SNOMEDCT"
"116048001","Salmonella, serogroup C (organism)","SNOMEDCT"
"116049009","Salmonella serotype B, 5:-:1,2 (organism)","SNOMEDCT"
"116053006","Salmonella Damman (organism)","SNOMEDCT"
"116054000","Salmonella Omuna (organism)","SNOMEDCT"
"116056003","Salmonella II 3,10,15:g,m,s,t:- (organism)","SNOMEDCT"
"116057007","Salmonella Bloomsbury (organism)","SNOMEDCT"
"116058002","Salmonella Wilmington (organism)","SNOMEDCT"
"116059005","Salmonella Asylanta (organism)","SNOMEDCT"
"116376004","Salmonella serotype C2,6,8:z10:- (organism)","SNOMEDCT"
"116377008","Salmonella serotype C1,7:l,w:- (organism)","SNOMEDCT"
"11738009","Salmonella Sterrenbos (organism)","SNOMEDCT"
"11750003","Salmonella Lisboa (organism)","SNOMEDCT"
"11827001","Salmonella II 1,40:a:z6 (organism)","SNOMEDCT"
"11893007","Salmonella Irigny (organism)","SNOMEDCT"
"11901002","Salmonella Kiambu (organism)","SNOMEDCT"
"11903004","Salmonella Mesbit (organism)","SNOMEDCT"
"11926006","Salmonella Hannover (organism)","SNOMEDCT"
"11958001","Salmonella Niamey (organism)","SNOMEDCT"
"12040007","Salmonella Huddinge (organism)","SNOMEDCT"
"12248009","Salmonella II 56:z10:e,n,x (organism)","SNOMEDCT"
"12278000","Salmonella Indiana (organism)","SNOMEDCT"
"12334006","Salmonella Bijlmer (organism)","SNOMEDCT"
"12370009","Salmonella Bornum (organism)","SNOMEDCT"
"1245005","Salmonella Kiel (organism)","SNOMEDCT"
"12470005","Salmonella Bandia (organism)","SNOMEDCT"
"12517002","Salmonella Eschweiler (organism)","SNOMEDCT"
"12662006","Salmonella Amunigun (organism)","SNOMEDCT"
"1.27e+14","Severe sepsis with acute organ dysfunction caused by Salmonella (disorder)","SNOMEDCT"
"127498002","Salmonella serotype B,5:r:- (organism)","SNOMEDCT"
"127499005","Salmonella serotype B,:r:- (organism)","SNOMEDCT"
"12767007","Salmonella Crossness (organism)","SNOMEDCT"
"12837008","Salmonella Aschersleben (organism)","SNOMEDCT"
"128388007","Salmonella Paratyphi B var. Java (organism)","SNOMEDCT"
"1291002","Salmonella Frankfurt (organism)","SNOMEDCT"
"12924006","Salmonella Breukelen (organism)","SNOMEDCT"
"12964005","Salmonella Souza (organism)","SNOMEDCT"
"13009006","Salmonella Madelia (organism)","SNOMEDCT"
"131282009","Salmonella serotype B, :-:1,2 (organism)","SNOMEDCT"
"131283004","Salmonella serotype B, 5:d:- (organism)","SNOMEDCT"
"131284005","Salmonella serotype C2,6,8:eh:- (organism)","SNOMEDCT"
"13179007","Salmonella Montreal (organism)","SNOMEDCT"
"13411008","Salmonella Freetown (organism)","SNOMEDCT"
"13421000","Salmonella Ried (organism)","SNOMEDCT"
"13491009","Salmonella Brefet (organism)","SNOMEDCT"
"13511005","Salmonella Bodjonegoro (organism)","SNOMEDCT"
"13552001","Salmonella II 1,40:(z42):1,(5),7 (organism)","SNOMEDCT"
"13615007","Salmonella Regent (organism)","SNOMEDCT"
"13679006","Salmonella Ahanou (organism)","SNOMEDCT"
"13682001","Salmonella Hessarek (organism)","SNOMEDCT"
"13794000","Salmonella Gambaga (organism)","SNOMEDCT"
"13865001","Salmonella Tokoin (organism)","SNOMEDCT"
"13998005","Salmonella IV 53:z4,z23:-- (organism)","SNOMEDCT"
"14007002","Salmonella Vom (organism)","SNOMEDCT"
"14078008","Salmonella loanda (organism)","SNOMEDCT"
"14145004","Salmonella Gdansk (organism)","SNOMEDCT"
"14219002","Salmonella Kahla (organism)","SNOMEDCT"
"14262001","Salmonella Hilversum (organism)","SNOMEDCT"
"14368004","Salmonella Bergen (organism)","SNOMEDCT"
"14424002","Salmonella Tees (organism)","SNOMEDCT"
"14528002","Salmonella IV 44:z4,z24:- (organism)","SNOMEDCT"
"14642002","Salmonella II 1,9,12,(46),27:z4,z24:1,5 (organism)","SNOMEDCT"
"14694000","Salmonella IV 11:z4,z32:- (organism)","SNOMEDCT"
"14882006","Salmonella II 43:e,n,x,z15:1,6 (organism)","SNOMEDCT"
"14966006","Salmonella Riverside (organism)","SNOMEDCT"
"14993009","Salmonella Mampeza (organism)","SNOMEDCT"
"15001007","Salmonella Stockholm (organism)","SNOMEDCT"
"15055006","Salmonella Riggil (organism)","SNOMEDCT"
"15063007","Salmonella II humber (organism)","SNOMEDCT"
"15091004","Salmonella Messina (organism)","SNOMEDCT"
"15168000","Salmonella II 41:l,z13,z28:e,n,x,z15 (organism)","SNOMEDCT"
"15189009","Salmonella II 6,7:g,[m],s,t:[z42] (organism)","SNOMEDCT"
"15288005","Salmonella Banco (organism)","SNOMEDCT"
"15319009","Salmonella Ealing (organism)","SNOMEDCT"
"15337005","Salmonella Isaszeg (organism)","SNOMEDCT"
"15549007","Salmonella Bamboye (organism)","SNOMEDCT"
"15553009","Salmonella Tchamba (organism)","SNOMEDCT"
"15578008","Salmonella Dahlem (organism)","SNOMEDCT"
"15691000","Salmonella Korbol (organism)","SNOMEDCT"
"15728008","Salmonella Leith (organism)","SNOMEDCT"
"1574002","Salmonella Santiago (organism)","SNOMEDCT"
"15789003","Salmonella Vilvoorde (organism)","SNOMEDCT"
"158005","Salmonella Irumu (organism)","SNOMEDCT"
"15839003","Salmonella II 1,40:z6:1,5 (organism)","SNOMEDCT"
"15844005","Salmonella Maracaibo (organism)","SNOMEDCT"
"16049005","Salmonella II 16:b:z39 (organism)","SNOMEDCT"
"16109000","Salmonella Coeln (organism)","SNOMEDCT"
"16158001","Salmonella Austin (organism)","SNOMEDCT"
"16168006","Salmonella II 58:b:1,5 (organism)","SNOMEDCT"
"16194002","Salmonella Solna (organism)","SNOMEDCT"
"1621003","Salmonella IV 45:z4,z23:- (organism)","SNOMEDCT"
"16346007","Salmonella Lubumbashi (organism)","SNOMEDCT"
"16363006","Salmonella II 42:z6:1,6 (organism)","SNOMEDCT"
"16380005","Salmonella Wuppertal (organism)","SNOMEDCT"
"16582001","Salmonella eboko (organism)","SNOMEDCT"
"16723007","Salmonella Rottnest (organism)","SNOMEDCT"
"16732009","Salmonella II, group O:56 (organism)","SNOMEDCT"
"16762003","Salmonella II 42:z10:z6 (organism)","SNOMEDCT"
"16820003","Salmonella Goldcoast (organism)","SNOMEDCT"
"16845000","Salmonella Keve (organism)","SNOMEDCT"
"16888008","Salmonella Brandenburg (organism)","SNOMEDCT"
"16981003","Salmonella II 53:d:1,5 (organism)","SNOMEDCT"
"17007007","Salmonella Llandoff (organism)","SNOMEDCT"
"17019004","Salmonella Blijdorp (organism)","SNOMEDCT"
"17036007","Salmonella Djibouti (organism)","SNOMEDCT"
"17233007","Salmonella Simi (organism)","SNOMEDCT"
"17323002","Salmonella Wimborne (organism)","SNOMEDCT"
"17330008","Salmonella Mississippi (organism)","SNOMEDCT"
"17464006","Salmonella Amina (organism)","SNOMEDCT"
"17611002","Salmonella Fayed (organism)","SNOMEDCT"
"17680008","Salmonella II 9,46:m,t:e,n,x (organism)","SNOMEDCT"
"17801007","Salmonella Toulon (organism)","SNOMEDCT"
"17834009","Salmonella Ord (organism)","SNOMEDCT"
"17939003","Salmonella Lomita (organism)","SNOMEDCT"
"1804009","Salmonella Brijbhumi (organism)","SNOMEDCT"
"18088003","Salmonella Korlebu (organism)","SNOMEDCT"
"1812001","Salmonella Jerusalem (organism)","SNOMEDCT"
"18129006","Salmonella Ghana (organism)","SNOMEDCT"
"18163008","Salmonella Senftenberg (organism)","SNOMEDCT"
"18238001","Salmonella IV 48:z4,z32:- (organism)","SNOMEDCT"
"18271002","Salmonella Bobo (organism)","SNOMEDCT"
"18562005","Salmonella II 48:a:z6 (organism)","SNOMEDCT"
"18578007","Salmonella Ashanti (organism)","SNOMEDCT"
"18711009","Salmonella Saugus (organism)","SNOMEDCT"
"18717008","Salmonella Edmonton (organism)","SNOMEDCT"
"18810002","Salmonella Wohlen (organism)","SNOMEDCT"
"18828000","Salmonella II 8:z29:e,n,x:z42 (organism)","SNOMEDCT"
"1888009","Salmonella Wingrove (organism)","SNOMEDCT"
"18913004","Salmonella Bonames (organism)","SNOMEDCT"
"19118002","Salmonella Ahepe (organism)","SNOMEDCT"
"19190005","Salmonella Flottbek (organism)","SNOMEDCT"
"19191009","Salmonella Diguel (organism)","SNOMEDCT"
"1921001","Salmonella Donna (organism)","SNOMEDCT"
"1934000","Salmonella Ridge (organism)","SNOMEDCT"
"19368001","Salmonella Babelsberg (organism)","SNOMEDCT"
"19374001","Salmonella enteritidis, phage type 4 (organism)","SNOMEDCT"
"19430004","Salmonella Fitzroy (organism)","SNOMEDCT"
"19439003","Salmonella Giza (organism)","SNOMEDCT"
"1957006","Salmonella Hydra (organism)","SNOMEDCT"
"19605006","Salmonella IV 57:z4,z23:- (organism)","SNOMEDCT"
"19687000","Salmonella II 40:z:z39 (organism)","SNOMEDCT"
"19828009","Salmonella Neukoelln (organism)","SNOMEDCT"
"19857008","Salmonella II 11:-:1,5 (organism)","SNOMEDCT"
"19890008","Salmonella II 16:b:z42 (organism)","SNOMEDCT"
"19891007","Salmonella II 50:l,z28:z42 (organism)","SNOMEDCT"
"19912000","Salmonella II 28:g,m,t:e,n,x (organism)","SNOMEDCT"
"19958004","Salmonella Marylebone (organism)","SNOMEDCT"
"19981002","Salmonella II 6,7:k:(z6) (organism)","SNOMEDCT"
"20031000","Salmonella Berkeley (organism)","SNOMEDCT"
"2007003","Salmonella Aesch (organism)","SNOMEDCT"
"20073008","Salmonella Manhattan (organism)","SNOMEDCT"
"20209004","Salmonella Landwasser (organism)","SNOMEDCT"
"20266009","Salmonella Glidji (organism)","SNOMEDCT"
"20268005","Salmonella Taunton (organism)","SNOMEDCT"
"20314003","Salmonella Staoueli (organism)","SNOMEDCT"
"20442000","Salmonella Borreze (organism)","SNOMEDCT"
"2047005","Salmonella Hoghton (organism)","SNOMEDCT"
"20537005","Salmonella Bokanjac (organism)","SNOMEDCT"
"20542002","Salmonella IV 50:z4,z24:- (organism)","SNOMEDCT"
"20567004","Salmonella Kortrijk (organism)","SNOMEDCT"
"20855009","Salmonella Pullorum (organism)","SNOMEDCT"
"20862000","Salmonella Soerenga (organism)","SNOMEDCT"
"20872002","Salmonella Mbao (organism)","SNOMEDCT"
"20905000","Salmonella Sunnycove (organism)","SNOMEDCT"
"20950003","Salmonella Bellevue (organism)","SNOMEDCT"
"21081003","Salmonella Burgas (organism)","SNOMEDCT"
"2111007","Salmonella Tamilnadu (organism)","SNOMEDCT"
"21146003","Salmonella Saphra (organism)","SNOMEDCT"
"21164005","Salmonella Bulgaria (organism)","SNOMEDCT"
"21176005","Salmonella Rogy (organism)","SNOMEDCT"
"21207005","Salmonella Cuckmere (organism)","SNOMEDCT"
"21218005","Salmonella Lokstedt (organism)","SNOMEDCT"
"21242009","Salmonella Mango (organism)","SNOMEDCT"
"21329006","Salmonella Djama (organism)","SNOMEDCT"
"21395009","Salmonella Grampian (organism)","SNOMEDCT"
"21436008","Salmonella Cyprus (organism)","SNOMEDCT"
"21469008","Salmonella Szentes (organism)","SNOMEDCT"
"21618001","Salmonella Morocco (organism)","SNOMEDCT"
"21786003","Salmonella Bruck (organism)","SNOMEDCT"
"21816004","Salmonella Zaire (organism)","SNOMEDCT"
"21838002","Salmonella Annedal (organism)","SNOMEDCT"
"21865009","Salmonella Bracknell (organism)","SNOMEDCT"
"2191008","Salmonella Ekpoui (organism)","SNOMEDCT"
"21953006","Salmonella II 47:z6:1,6 (organism)","SNOMEDCT"
"21975008","Salmonella Wien (organism)","SNOMEDCT"
"22001003","Salmonella Lockleaze (organism)","SNOMEDCT"
"2203005","Salmonella Meskin (organism)","SNOMEDCT"
"22117007","Salmonella Georgia (organism)","SNOMEDCT"
"22254006","Salmonella II 41:c:z6 (organism)","SNOMEDCT"
"22300006","Salmonella Hillsborough (organism)","SNOMEDCT"
"22307009","Salmonella Budapest (organism)","SNOMEDCT"
"22367006","Salmonella Chingola (organism)","SNOMEDCT"
"22590000","Salmonella Maricopa (organism)","SNOMEDCT"
"22729005","Salmonella Bukavu (organism)","SNOMEDCT"
"22752009","Salmonella Grumpensis (organism)","SNOMEDCT"
"22831005","Salmonella II 30:g,m,s:e,n,x (organism)","SNOMEDCT"
"2286000","Salmonella Agbeni (organism)","SNOMEDCT"
"22899009","Salmonella Falkensee (organism)","SNOMEDCT"
"2291004","Salmonella London (organism)","SNOMEDCT"
"23032006","Salmonella Angoda (organism)","SNOMEDCT"
"23033001","Salmonella Yalding (organism)","SNOMEDCT"
"23057001","Salmonella II 40:b:- (organism)","SNOMEDCT"
"23131001","Salmonella Ajiobo (organism)","SNOMEDCT"
"23271001","Salmonella Doulassame (organism)","SNOMEDCT"
"23333007","Salmonella Sao (organism)","SNOMEDCT"
"23342000","Salmonella II 9,46:z39:1,7 (organism)","SNOMEDCT"
"2356009","Salmonella Patience (organism)","SNOMEDCT"
"23665004","Salmonella Dakar (organism)","SNOMEDCT"
"23727001","Salmonella Wil (organism)","SNOMEDCT"
"23790005","Salmonella Kokoli (organism)","SNOMEDCT"
"23836008","Salmonella Pontypridd (organism)","SNOMEDCT"
"23837004","Salmonella Tchad (organism)","SNOMEDCT"
"23865002","Salmonella Amounderness (organism)","SNOMEDCT"
"2399004","Salmonella Quiniela (organism)","SNOMEDCT"
"24009000","Salmonella Zuilen (organism)","SNOMEDCT"
"24090006","Salmonella Senegal (organism)","SNOMEDCT"
"24239004","Salmonella II 1,40:z:z6 (organism)","SNOMEDCT"
"24270007","Salmonella Magumeri (organism)","SNOMEDCT"
"24289007","Salmonella Lagos (organism)","SNOMEDCT"
"2434007","Salmonella Uganda (organism)","SNOMEDCT"
"2440000","Salmonella Inglis (organism)","SNOMEDCT"
"2445005","Salmonella Olten (organism)","SNOMEDCT"
"24564002","Salmonella Livulu (organism)","SNOMEDCT"
"24666009","Salmonella Worthington (organism)","SNOMEDCT"
"24680002","Salmonella Matopeni (organism)","SNOMEDCT"
"24896001","Salmonella Harvestehude (organism)","SNOMEDCT"
"24951009","Salmonella Wagenia (organism)","SNOMEDCT"
"25000009","Salmonella Bassa (organism)","SNOMEDCT"
"25037003","Salmonella Emmastad (organism)","SNOMEDCT"
"25040003","Salmonella Lene (organism)","SNOMEDCT"
"2527008","Salmonella II, 1,4,12,27:l,v:z39 (organism)","SNOMEDCT"
"25382005","Salmonella Sharon (organism)","SNOMEDCT"
"25487003","Salmonella Eingedi (organism)","SNOMEDCT"
"25520000","Salmonella Ruiru (organism)","SNOMEDCT"
"25535004","Salmonella Beaudesert (organism)","SNOMEDCT"
"25695005","Salmonella Umbilo (organism)","SNOMEDCT"
"25767003","Salmonella Liverpool (organism)","SNOMEDCT"
"25812007","Salmonella Thiaroye (organism)","SNOMEDCT"
"25939003","Salmonella Lindi (organism)","SNOMEDCT"
"2599003","Salmonella Massenya (organism)","SNOMEDCT"
"26003002","Salmonella Bedford (organism)","SNOMEDCT"
"26031006","Salmonella Kibusi (organism)","SNOMEDCT"
"26080001","Salmonella Avignon (organism)","SNOMEDCT"
"26153006","Salmonella Heves (organism)","SNOMEDCT"
"26207009","Salmonella II 43:a:z6 (organism)","SNOMEDCT"
"26225002","Salmonella II 3,10:a:z39 (organism)","SNOMEDCT"
"26443001","Salmonella Lattenkamp (organism)","SNOMEDCT"
"26455007","Salmonella Nima (organism)","SNOMEDCT"
"26463008","Salmonella Hartford (organism)","SNOMEDCT"
"26494008","Salmonella II 53:z:1,5 (organism)","SNOMEDCT"
"26592005","Salmonella Tamale (organism)","SNOMEDCT"
"26621003","Salmonella IV 48:z36,z38:- (organism)","SNOMEDCT"
"26622005","Salmonella Gnesta (organism)","SNOMEDCT"
"26685005","Salmonella Stuivenberg (organism)","SNOMEDCT"
"26793003","Salmonella II 6,8:z29:1,5 (organism)","SNOMEDCT"
"26894001","Salmonella Redlands (organism)","SNOMEDCT"
"26964008","Salmonella Welikade (organism)","SNOMEDCT"
"27008003","Salmonella Niakhar (organism)","SNOMEDCT"
"27067005","Salmonella II 43:z29:e,n,x (organism)","SNOMEDCT"
"27268008","Genus Salmonella (organism)","SNOMEDCT"
"27353005","Salmonella Bambylor (organism)","SNOMEDCT"
"27408007","Salmonella Yundum (organism)","SNOMEDCT"
"27522009","Salmonella II 21:z:- (organism)","SNOMEDCT"
"27543005","Salmonella Afula (organism)","SNOMEDCT"
"27987009","Salmonella Adamstua (organism)","SNOMEDCT"
"280003","Salmonella Limete (organism)","SNOMEDCT"
"28013002","Salmonella Kristianstad (organism)","SNOMEDCT"
"28090003","Salmonella Yarm (organism)","SNOMEDCT"
"28106004","Salmonella Lome (organism)","SNOMEDCT"
"28124002","Salmonella Utah (organism)","SNOMEDCT"
"28141000","Salmonella Bolombo (organism)","SNOMEDCT"
"2820001","Salmonella Saintpaul (organism)","SNOMEDCT"
"28206007","Salmonella Cannstatt (organism)","SNOMEDCT"
"28285008","Salmonella Finkenwerder (organism)","SNOMEDCT"
"28418000","Salmonella Rossleben (organism)","SNOMEDCT"
"28623007","Salmonella Treforest (organism)","SNOMEDCT"
"28717009","Salmonella Waycross (organism)","SNOMEDCT"
"2872006","Salmonella Frintrop (organism)","SNOMEDCT"
"28865004","Salmonella Umhlali (organism)","SNOMEDCT"
"28879007","Salmonella Gwale (organism)","SNOMEDCT"
"28932006","Salmonella Wayne (organism)","SNOMEDCT"
"29019008","Salmonella Singapore (organism)","SNOMEDCT"
"29049005","Salmonella Niloese (organism)","SNOMEDCT"
"29083003","Salmonella Nikolaifleet (organism)","SNOMEDCT"
"29090008","Salmonella Zanzibar (organism)","SNOMEDCT"
"29115000","Salmonella Kisarawe (organism)","SNOMEDCT"
"29173000","Salmonella Tado (organism)","SNOMEDCT"
"29189002","Salmonella Tschangu (organism)","SNOMEDCT"
"29192003","Salmonella Benin (organism)","SNOMEDCT"
"29305002","Salmonella Teshie (organism)","SNOMEDCT"
"2932003","Salmonella Bispebjerg (organism)","SNOMEDCT"
"29335009","Salmonella Sokode (organism)","SNOMEDCT"
"29429005","Salmonella Handen (organism)","SNOMEDCT"
"29449001","Salmonella Ndjamena (organism)","SNOMEDCT"
"29469006","Salmonella Tennyson (organism)","SNOMEDCT"
"29528000","Salmonella Reubeuss (organism)","SNOMEDCT"
"29742006","Salmonella Gafsa (organism)","SNOMEDCT"
"29811007","Salmonella Jukestown (organism)","SNOMEDCT"
"29948004","Salmonella II 30:z6:1,6 (organism)","SNOMEDCT"
"29955002","Salmonella Tsevie (organism)","SNOMEDCT"
"30228001","Salmonella Neudorf (organism)","SNOMEDCT"
"302624001","Salmonella II 4,12,27:i:z35 (organism)","SNOMEDCT"
"302625000","Salmonella Winneba (organism)","SNOMEDCT"
"302636007","Salmonella Stuttgart (organism)","SNOMEDCT"
"302637003","Salmonella Cardiff (organism)","SNOMEDCT"
"302653000","Salmonella Daarle (organism)","SNOMEDCT"
"302654006","Salmonella II 6,8:z29:e,n,x (organism)","SNOMEDCT"
"302660006","Salmonella II 1,9,12:g,m,[s],t:[1,5,7]:[z42] (organism)","SNOMEDCT"
"302665001","Salmonella II 1,9,12:z42:1,[5],7 (organism)","SNOMEDCT"
"302666000","Salmonella group D2 phase 1 a-e (navigational concept)","SNOMEDCT"
"302667009","Salmonella Kolar (organism)","SNOMEDCT"
"302669007","Salmonella Waedenswil (organism)","SNOMEDCT"
"302673005","Salmonella Ngaparou (organism)","SNOMEDCT"
"302674004","Salmonella Mahina (organism)","SNOMEDCT"
"302688000","Salmonella Svedvi (organism)","SNOMEDCT"
"302691000","Salmonella Simsbury (organism)","SNOMEDCT"
"302700002","Salmonella 13,22:a:e,n,x (organism)","SNOMEDCT"
"302702005","Salmonella 1,13,23:g,m,s,t:1,5 (organism)","SNOMEDCT"
"302703000","Salmonella II 1,13,23:g,m,s,t:z42 (organism)","SNOMEDCT"
"302708009","Salmonella Kuntair (organism)","SNOMEDCT"
"302718004","Salmonella Brooklyn (organism)","SNOMEDCT"
"302719007","Salmonella group I phase 1 y-z (navigational concept)","SNOMEDCT"
"302721002","Salmonella Bouake (organism)","SNOMEDCT"
"302722009","Salmonella II 21:b:1,5 (organism)","SNOMEDCT"
"302740008","Salmonella Odienne (organism)","SNOMEDCT"
"302746002","Salmonella II 45:z29:e,n,x (organism)","SNOMEDCT"
"302751008","Salmonella Krugersdorp (organism)","SNOMEDCT"
"302754000","Salmonella II 56:l,v:z39 (organism)","SNOMEDCT"
"30290002","Salmonella Mara (organism)","SNOMEDCT"
"303216008","Salmonella Mbandaka var 25 (organism)","SNOMEDCT"
"30335006","Salmonella Tounouma (organism)","SNOMEDCT"
"30362003","Salmonella Ayinde (organism)","SNOMEDCT"
"30430002","Salmonella IV 45:g,z51:- (organism)","SNOMEDCT"
"30552009","Salmonella II 58:a:(z6) (organism)","SNOMEDCT"
"30569006","Salmonella II 47:a:e,n,x,z15 (organism)","SNOMEDCT"
"30665007","Salmonella Christiansborg (organism)","SNOMEDCT"
"30686007","Salmonella Ochsenwerder (organism)","SNOMEDCT"
"30864008","Salmonella Chittagong (organism)","SNOMEDCT"
"30892003","Salmonella Athinai (organism)","SNOMEDCT"
"31044005","Salmonella Bessi (organism)","SNOMEDCT"
"31093000","Salmonella Ekotedo (organism)","SNOMEDCT"
"312000","Salmonella Amba (organism)","SNOMEDCT"
"31210009","Salmonella IV 43:g,z51:- (organism)","SNOMEDCT"
"31239009","Salmonella Rhydyfelin (organism)","SNOMEDCT"
"31454000","Salmonella II 41:-:1,6 (organism)","SNOMEDCT"
"31469004","Salmonella Langensalza (organism)","SNOMEDCT"
"31517006","Salmonella Richmond (organism)","SNOMEDCT"
"3154009","Salmonella Oyonnax (organism)","SNOMEDCT"
"31557009","Salmonella Pretoria (organism)","SNOMEDCT"
"31564006","Salmonella Claibornei (organism)","SNOMEDCT"
"31592001","Salmonella Mendoza (organism)","SNOMEDCT"
"31602000","Salmonella Businga (organism)","SNOMEDCT"
"31608001","Salmonella Gatuni (organism)","SNOMEDCT"
"31669006","Salmonella Reinickendorf (organism)","SNOMEDCT"
"31718003","Salmonella II 6,8:g,m,t:(e,n,x) (organism)","SNOMEDCT"
"31745002","Salmonella Lishabi (organism)","SNOMEDCT"
"31832006","Salmonella II 1,40:m,t:z42 (organism)","SNOMEDCT"
"31859003","Salmonella Egusitoo (organism)","SNOMEDCT"
"31900005","Salmonella Umhlatazana (organism)","SNOMEDCT"
"32054007","Salmonella Kubacha (organism)","SNOMEDCT"
"3210007","Salmonella II 1,44:e,n,x:1,6 (organism)","SNOMEDCT"
"32122000","Salmonella Nessa (organism)","SNOMEDCT"
"32244000","Salmonella Tyresoe (organism)","SNOMEDCT"
"32275009","Salmonella Godesberg (organism)","SNOMEDCT"
"32310005","Salmonella Konstanz (organism)","SNOMEDCT"
"32320000","Salmonella Wilhelmsburg (organism)","SNOMEDCT"
"32365009","Salmonella Tornow (organism)","SNOMEDCT"
"32379001","Salmonella Fischerstrasse (organism)","SNOMEDCT"
"32488009","Salmonella Paratyphi C (organism)","SNOMEDCT"
"32531009","Salmonella II 9,46:e,n,x:1,5,7 (organism)","SNOMEDCT"
"32549009","Salmonella Djermaia (organism)","SNOMEDCT"
"32624003","Salmonella Carrau (organism)","SNOMEDCT"
"32681008","Salmonella Orion (organism)","SNOMEDCT"
"32692009","Salmonella II 28:g,s,t:e,n,x (organism)","SNOMEDCT"
"32716002","Salmonella Vaertan (organism)","SNOMEDCT"
"32771001","Salmonella Ituri (organism)","SNOMEDCT"
"32854006","Salmonella Sanktgeorg (organism)","SNOMEDCT"
"3288007","Salmonella II 65:-:1,6 (organism)","SNOMEDCT"
"32995008","Salmonella Mons (organism)","SNOMEDCT"
"33108006","Salmonella Birkenhead (organism)","SNOMEDCT"
"3312002","Salmonella Fresno (organism)","SNOMEDCT"
"33136001","Salmonella Elisabethville (organism)","SNOMEDCT"
"3316004","Salmonella Hithergreen (organism)","SNOMEDCT"
"33172008","Salmonella Curacao (organism)","SNOMEDCT"
"33296009","Salmonella Taksony (organism)","SNOMEDCT"
"3335004","Salmonella Greiz (organism)","SNOMEDCT"
"33613006","Salmonella Holcomb (organism)","SNOMEDCT"
"3373000","Salmonella Ibadan (organism)","SNOMEDCT"
"33765004","Salmonella Lomnava (organism)","SNOMEDCT"
"33827003","Salmonella Battle (organism)","SNOMEDCT"
"3386009","Salmonella Doncaster (organism)","SNOMEDCT"
"33909002","Salmonella Makiso (organism)","SNOMEDCT"
"34033001","Salmonella Nuatja (organism)","SNOMEDCT"
"34051000","Salmonella Sandow (organism)","SNOMEDCT"
"34107006","Salmonella Wentworth (organism)","SNOMEDCT"
"34153004","Salmonella Brazzaville (organism)","SNOMEDCT"
"34192006","Salmonella II 52:c:k (organism)","SNOMEDCT"
"34237005","Salmonella Miyazaki (organism)","SNOMEDCT"
"34256000","Salmonella Ayton (organism)","SNOMEDCT"
"34328008","Salmonella II 16:m,t:e,n,x (organism)","SNOMEDCT"
"34434000","Salmonella Zwickau (organism)","SNOMEDCT"
"34464008","Salmonella Texas (organism)","SNOMEDCT"
"34473000","Salmonella Wangata (organism)","SNOMEDCT"
"34520002","Salmonella Coogee (organism)","SNOMEDCT"
"34547007","Salmonella Eastbourne (organism)","SNOMEDCT"
"34732000","Salmonella Okefoko (organism)","SNOMEDCT"
"34778008","Salmonella Maryland (organism)","SNOMEDCT"
"35053007","Salmonella II 16:d:1,5 (organism)","SNOMEDCT"
"35091007","Salmonella Trimdon (organism)","SNOMEDCT"
"35197009","Salmonella Biafra (organism)","SNOMEDCT"
"35203007","Salmonella Croft (organism)","SNOMEDCT"
"35225001","Salmonella Braenderup (organism)","SNOMEDCT"
"35244008","Salmonella Mocamedes (organism)","SNOMEDCT"
"35373008","Salmonella Istanbul (organism)","SNOMEDCT"
"3540008","Salmonella Aequatoria (organism)","SNOMEDCT"
"35454005","Salmonella oslo (organism)","SNOMEDCT"
"35504002","Salmonella Borbeck (organism)","SNOMEDCT"
"35529008","Salmonella Brancaster (organism)","SNOMEDCT"
"35647006","Salmonella Avonmouth (organism)","SNOMEDCT"
"3567002","Salmonella Angers (organism)","SNOMEDCT"
"3596001","Salmonella Poano (organism)","SNOMEDCT"
"35972009","Salmonella Brunei (organism)","SNOMEDCT"
"35996004","Salmonella Fyris (organism)","SNOMEDCT"
"36050001","Salmonella Granlo (organism)","SNOMEDCT"
"36077005","Salmonella Sarajane (organism)","SNOMEDCT"
"361397004","Salmonella Atento (organism)","SNOMEDCT"
"36210005","Salmonella II 6,7:l,w:1,5,7 (organism)","SNOMEDCT"
"3624003","Salmonella Waral (organism)","SNOMEDCT"
"36247005","Salmonella Santhiaba (organism)","SNOMEDCT"
"36282006","Salmonella Yolo (organism)","SNOMEDCT"
"36324007","Salmonella II 30:z39:1,7 (organism)","SNOMEDCT"
"363760001","Salmonella IIIb 48:k:1,5,(7) (organism)","SNOMEDCT"
"36510009","Salmonella Teddington (organism)","SNOMEDCT"
"36588009","Salmonella Sangera (organism)","SNOMEDCT"
"36604000","Salmonella Djugu (organism)","SNOMEDCT"
"36702005","Salmonella II 13,23:d:e,n,x (organism)","SNOMEDCT"
"36807005","Salmonella Canton (organism)","SNOMEDCT"
"36819002","Salmonella II 13,22:k:1,5:z42 (organism)","SNOMEDCT"
"370576005","Salmonella Gallinarum (organism)","SNOMEDCT"
"370577001","Salmonella Choleraesuis var. Kunzendorf (organism)","SNOMEDCT"
"370578006","Salmonella Typhimurium var. Copenhagen (organism)","SNOMEDCT"
